DATE,PLAYER,TEAM,PTS,REB,AST,STL,BLK,RES,LOC,VS,POS,LAT,LON
1980-01-18,Kareem Abdul-Jabbar,LAL,28,15.0,2.0,1.0,10.0,W,HOME,ATL,LAL,34.043056,-118.267222
1980-01-23,Michael Ray Richardson,NYK,22,10.0,18.0,3.0,0.0,W,AWAY,PHO,PHO,33.445833,-112.071389
1980-01-26,Mickey Johnson,IND,37,11.0,10.0,1.0,1.0,W,AWAY,CLE,CLE,41.496389,-81.688056
1980-01-27,Michael Ray Richardson,NYK,16,12.0,10.0,,,W,AWAY,DET,DET,42.6969,-83.24555
1980-02-05,Magic Johnson,LAL,19,10.0,11.0,3.0,0.0,W,AWAY,NYK,NYK,40.750556,-73.993611
1980-02-08,Magic Johnson,LAL,19,13.0,13.0,0.0,0.0,W,AWAY,NJN,NJN,40.81167,-74.0675
1980-02-23,Michael Ray Richardson,NYK,16,13.0,14.0,5.0,0.0,W,HOME,CLE,NYK,40.750556,-73.993611
1980-03-13,Michael Ray Richardson,NYK,15,16.0,16.0,6.0,0.0,L,HOME,IND,NYK,40.750556,-73.993611
1980-03-16,Magic Johnson,LAL,21,13.0,13.0,3.0,2.0,W,HOME,PHO,LAL,34.043056,-118.267222
1980-03-30,Magic Johnson,LAL,16,12.0,10.0,3.0,0.0,W,AWAY,GSW,GSW,37.7503,-122.203
1980-10-14,Michael Ray Richardson,NYK,20,10.0,13.0,7.0,0.0,W,HOME,PHI,NYK,40.750556,-73.993611
1980-10-15,Magic Johnson,LAL,20,12.0,14.0,7.0,0.0,W,AWAY,KCK,KCK,39.091944,-94.605833
1980-10-26,Magic Johnson,LAL,24,13.0,11.0,6.0,1.0,L,HOME,SAS,LAL,34.043056,-118.267222
1980-11-04,Magic Johnson,LAL,20,10.0,12.0,4.0,1.0,W,HOME,POR,LAL,34.043056,-118.267222
1980-12-17,Mickey Johnson,MIL,18,10.0,11.0,2.0,1.0,L,AWAY,NJN,NJN,40.81167,-74.0675
1980-12-30,Larry Bird,BOS,27,10.0,10.0,5.0,2.0,W,AWAY,PHO,PHO,33.445833,-112.071389
1981-01-01,Larry Bird,BOS,13,13.0,10.0,3.0,1.0,W,AWAY,SDC,SDC,32.77375,-117.07458
1981-01-16,Michael Ray Richardson,NYK,18,16.0,11.0,5.0,0.0,L,AWAY,DAL,DAL,32.790556,-96.810278
1981-01-21,Larry Bird,BOS,20,10.0,10.0,1.0,0.0,W,HOME,UTA,BOS,42.366303,-71.062228
1981-02-03,Sam Lacey,KCK,14,12.0,11.0,1.0,2.0,W,AWAY,DAL,DAL,32.790556,-96.810278
1981-02-18,Sam Lacey,KCK,12,10.0,12.0,4.0,1.0,W,HOME,BOS,KCK,39.091944,-94.605833
1981-03-06,Larry Bird,BOS,28,10.0,10.0,1.0,0.0,L,AWAY,IND,IND,39.763889,-86.155556
1981-03-10,Magic Johnson,LAL,21,16.0,10.0,4.0,1.0,W,HOME,SAS,LAL,34.043056,-118.267222
1981-03-21,Michael Ray Richardson,NYK,27,15.0,19.0,2.0,0.0,W,HOME,CLE,NYK,40.750556,-73.993611
1981-03-24,Michael Ray Richardson,NYK,26,12.0,11.0,6.0,2.0,L,HOME,BOS,NYK,40.750556,-73.993611
1981-03-24,Larry Bird,BOS,16,13.0,10.0,1.0,0.0,W,AWAY,NYK,NYK,40.750556,-73.993611
1981-03-28,Magic Johnson,LAL,41,12.0,11.0,1.0,0.0,L,AWAY,UTA,UTA,40.768333,-111.901111
1981-03-29,Magic Johnson,LAL,33,15.0,17.0,6.0,1.0,L,HOME,DEN,LAL,34.043056,-118.267222
1981-10-30,Magic Johnson,LAL,27,14.0,12.0,3.0,1.0,L,HOME,HOU,LAL,34.043056,-118.267222
1981-11-03,Magic Johnson,LAL,10,12.0,10.0,0.0,0.0,L,AWAY,POR,POR,45.531667,-122.666667
1981-11-08,Magic Johnson,LAL,24,10.0,15.0,3.0,,W,HOME,DAL,LAL,34.043056,-118.267222
1981-11-10,Michael Ray Richardson,NYK,20,15.0,12.0,4.0,,W,HOME,NJN,NYK,40.750556,-73.993611
1981-11-20,Magic Johnson,LAL,20,10.0,16.0,3.0,1.0,W,HOME,SAS,LAL,34.043056,-118.267222
1981-11-29,Magic Johnson,LAL,12,11.0,11.0,3.0,1.0,W,HOME,HOU,LAL,34.043056,-118.267222
1981-12-04,Magic Johnson,LAL,24,10.0,11.0,2.0,1.0,W,AWAY,DEN,DEN,39.74892,-105.0084
1981-12-08,Magic Johnson,LAL,22,10.0,10.0,,,W,HOME,WSB,LAL,34.043056,-118.267222
1981-12-11,Magic Johnson,LAL,23,12.0,10.0,4.0,0.0,W,HOME,POR,LAL,34.043056,-118.267222
1981-12-26,Michael Ray Richardson,NYK,17,12.0,12.0,,,W,AWAY,IND,IND,39.763889,-86.155556
1982-01-02,Michael Ray Richardson,NYK,23,12.0,11.0,5.0,,W,HOME,DET,NYK,40.750556,-73.993611
1982-01-11,Larry Bird,BOS,25,14.0,10.0,4.0,1.0,W,AWAY,NJN,NJN,40.81167,-74.0675
1982-01-12,Michael Ray Richardson,NYK,26,11.0,11.0,,0.0,W,AWAY,UTA,UTA,40.768333,-111.901111
1982-01-13,Larry Bird,BOS,28,19.0,15.0,3.0,3.0,W,HOME,ATL,BOS,42.366303,-71.062228
1982-01-19,Magic Johnson,LAL,22,16.0,14.0,2.0,1.0,L,AWAY,DEN,DEN,39.74892,-105.0084
1982-01-21,Michael Ray Richardson,NYK,14,11.0,12.0,1.0,2.0,W,HOME,ATL,NYK,40.750556,-73.993611
1982-01-22,Magic Johnson,LAL,26,16.0,12.0,,,W,HOME,DET,LAL,34.043056,-118.267222
1982-01-22,Kareem Abdul-Jabbar,LAL,19,10.0,0.0,,10.0,W,HOME,DET,LAL,34.043056,-118.267222
1982-02-02,Magic Johnson,LAL,17,14.0,10.0,1.0,0.0,L,AWAY,GSW,GSW,37.7503,-122.203
1982-02-07,Michael Ray Richardson,NYK,14,14.0,15.0,4.0,0.0,L,AWAY,POR,POR,45.531667,-122.666667
1982-02-16,Magic Johnson,LAL,11,10.0,18.0,2.0,,W,HOME,SEA,LAL,34.043056,-118.267222
1982-02-21,Larry Bird,BOS,22,12.0,14.0,3.0,0.0,L,AWAY,SEA,SEA,47.622,-122.354
1982-02-23,Michael Ray Richardson,NYK,15,12.0,12.0,7.0,0.0,W,HOME,MIL,NYK,40.750556,-73.993611
1982-02-26,Magic Johnson,LAL,18,10.0,10.0,,0.0,W,HOME,PHI,LAL,34.043056,-118.267222
1982-03-14,Magic Johnson,LAL,13,11.0,13.0,,,W,HOME,DAL,LAL,34.043056,-118.267222
1982-03-23,Magic Johnson,LAL,11,15.0,14.0,,,L,HOME,DAL,LAL,34.043056,-118.267222
1982-03-24,Johnny Moore,SAS,11,10.0,13.0,6.0,0.0,L,AWAY,DEN,DEN,39.74892,-105.0084
1982-04-06,Magic Johnson,LAL,23,11.0,10.0,3.0,0.0,W,AWAY,HOU,HOU,29.750833,-95.362222
1982-04-14,Magic Johnson,LAL,20,11.0,10.0,3.0,1.0,W,HOME,UTA,LAL,34.043056,-118.267222
1982-04-18,Magic Johnson,LAL,15,15.0,12.0,2.0,0.0,W,AWAY,PHO,PHO,33.445833,-112.071389
1982-10-29,Magic Johnson,LAL,22,10.0,10.0,1.0,1.0,L,HOME,GSW,LAL,34.043056,-118.267222
1982-11-03,Magic Johnson,LAL,17,15.0,13.0,0.0,1.0,W,AWAY,DEN,DEN,39.74892,-105.0084
1982-11-07,Magic Johnson,LAL,14,10.0,10.0,0.0,0.0,W,HOME,POR,LAL,34.043056,-118.267222
1982-11-21,Magic Johnson,LAL,10,10.0,12.0,2.0,0.0,W,HOME,DEN,LAL,34.043056,-118.267222
1982-12-04,Larry Bird,BOS,30,16.0,12.0,2.0,1.0,W,AWAY,DET,DET,42.6969,-83.24555
1982-12-10,Magic Johnson,LAL,19,12.0,13.0,1.0,0.0,W,AWAY,UTA,UTA,40.768333,-111.901111
1983-01-01,Larry Bird,BOS,14,15.0,11.0,6.0,0.0,W,AWAY,UTA,UTA,40.768333,-111.901111
1983-01-05,Magic Johnson,LAL,23,12.0,20.0,2.0,0.0,L,AWAY,PHI,PHI,39.901111,-75.171944
1983-01-07,Larry Bird,BOS,25,12.0,10.0,1.0,1.0,W,AWAY,SAS,SAS,29.426944,-98.4375
1983-01-15,Magic Johnson,LAL,13,17.0,21.0,2.0,0.0,W,AWAY,ATL,ATL,33.757222,-84.396389
1983-02-05,Mark Eaton,UTA,12,14.0,6.0,,12.0,L,AWAY,DEN,DEN,39.74892,-105.0084
1983-02-08,Magic Johnson,LAL,26,10.0,11.0,3.0,0.0,W,AWAY,SEA,SEA,47.622,-122.354
1983-02-23,Magic Johnson,LAL,20,13.0,10.0,2.0,1.0,L,HOME,BOS,LAL,34.043056,-118.267222
1983-03-05,Magic Johnson,LAL,21,10.0,16.0,4.0,0.0,W,AWAY,DET,DET,42.6969,-83.24555
1983-03-10,Mickey Johnson,GSW,21,11.0,10.0,0.0,1.0,W,AWAY,HOU,HOU,29.750833,-95.362222
1983-03-12,Magic Johnson,LAL,18,12.0,14.0,3.0,1.0,W,HOME,CHI,LAL,34.043056,-118.267222
1983-03-22,Magic Johnson,LAL,23,15.0,11.0,4.0,0.0,W,HOME,SEA,LAL,34.043056,-118.267222
1983-03-25,Magic Johnson,LAL,22,12.0,11.0,5.0,0.0,L,HOME,SAS,LAL,34.043056,-118.267222
1983-03-29,Alvan Adams,PHO,30,12.0,10.0,1.0,2.0,W,HOME,UTA,PHO,33.445833,-112.071389
1983-03-31,Magic Johnson,LAL,22,16.0,12.0,0.0,1.0,W,AWAY,DEN,DEN,39.74892,-105.0084
1983-04-02,Larry Bird,BOS,34,10.0,12.0,1.0,0.0,W,AWAY,WSB,WSB,38.8982,-77.0209
1983-04-05,Magic Johnson,LAL,11,16.0,13.0,3.0,1.0,L,AWAY,POR,POR,45.531667,-122.666667
1983-04-08,Magic Johnson,LAL,36,13.0,14.0,3.0,3.0,W,HOME,GSW,LAL,34.043056,-118.267222
1983-11-02,Magic Johnson,LAL,12,11.0,13.0,4.0,1.0,L,AWAY,SDC,SDC,32.77375,-117.07458
1983-11-08,Magic Johnson,LAL,29,12.0,14.0,1.0,0.0,W,AWAY,DEN,DEN,39.74892,-105.0084
1983-11-13,Magic Johnson,LAL,30,13.0,16.0,3.0,0.0,W,HOME,UTA,LAL,34.043056,-118.267222
1983-11-15,Larry Bird,BOS,28,11.0,10.0,1.0,1.0,W,AWAY,DEN,DEN,39.74892,-105.0084
1983-11-22,Larry Bird,BOS,16,11.0,11.0,1.0,0.0,L,AWAY,NYK,NYK,40.750556,-73.993611
1983-11-30,Larry Bird,BOS,23,14.0,13.0,4.0,0.0,W,HOME,SAS,BOS,42.366303,-71.062228
1983-12-04,Larry Bird,BOS,22,11.0,13.0,0.0,2.0,L,HOME,PHI,BOS,42.366303,-71.062228
1984-01-06,Magic Johnson,LAL,19,10.0,12.0,5.0,2.0,L,HOME,SAS,LAL,34.043056,-118.267222
1984-01-21,Magic Johnson,LAL,12,12.0,12.0,2.0,0.0,L,AWAY,SAS,SAS,29.426944,-98.4375
1984-02-01,Magic Johnson,LAL,10,10.0,17.0,1.0,2.0,W,AWAY,DEN,DEN,39.74892,-105.0084
1984-02-10,Magic Johnson,LAL,13,10.0,13.0,2.0,1.0,L,AWAY,WSB,WSB,38.8982,-77.0209
1984-02-10,Larry Bird,BOS,17,14.0,12.0,3.0,0.0,W,HOME,HOU,BOS,42.366303,-71.062228
1984-02-12,Magic Johnson,LAL,23,10.0,15.0,1.0,0.0,W,HOME,ATL,LAL,34.043056,-118.267222
1984-02-17,Larry Bird,BOS,30,13.0,13.0,3.0,1.0,W,AWAY,SEA,SEA,47.622,-122.354
1984-02-17,Magic Johnson,LAL,33,13.0,16.0,2.0,2.0,L,HOME,DEN,LAL,34.043056,-118.267222
1984-02-22,Magic Johnson,LAL,22,13.0,11.0,0.0,0.0,L,AWAY,SEA,SEA,47.622,-122.354
1984-03-21,Magic Johnson,LAL,24,12.0,19.0,2.0,1.0,W,AWAY,KCK,KCK,39.091944,-94.605833
1984-03-29,Magic Johnson,LAL,14,11.0,10.0,4.0,1.0,W,HOME,HOU,LAL,34.043056,-118.267222
1984-04-08,Larry Bird,BOS,30,10.0,10.0,1.0,1.0,W,HOME,CHI,BOS,42.366303,-71.062228
1984-10-30,Magic Johnson,LAL,16,12.0,10.0,3.0,0.0,W,HOME,GSW,LAL,34.043056,-118.267222
1984-11-01,Magic Johnson,LAL,10,10.0,14.0,3.0,0.0,L,AWAY,SEA,SEA,47.622,-122.354
1984-11-07,Mark Eaton,UTA,12,11.0,0.0,1.0,10.0,W,HOME,SAS,UTA,40.768333,-111.901111
1984-11-28,Magic Johnson,LAL,20,10.0,14.0,1.0,0.0,W,AWAY,UTA,UTA,40.768333,-111.901111
1984-12-04,Magic Johnson,LAL,28,10.0,14.0,3.0,1.0,W,AWAY,CLE,CLE,41.496389,-81.688056
1984-12-09,Johnny Moore,SAS,17,10.0,14.0,4.0,0.0,L,AWAY,LAC,LAC,34.043056,-118.267222
1984-12-12,Johnny Moore,SAS,13,10.0,16.0,4.0,2.0,W,HOME,DEN,SAS,29.426944,-98.4375
1984-12-18,Magic Johnson,LAL,25,14.0,20.0,0.0,0.0,W,AWAY,ATL,ATL,33.757222,-84.396389
1984-12-21,Magic Johnson,LAL,25,10.0,12.0,1.0,0.0,W,HOME,PHO,LAL,34.043056,-118.267222
1984-12-26,Larry Bird,BOS,34,11.0,10.0,3.0,0.0,W,AWAY,PHO,PHO,33.445833,-112.071389
1984-12-27,Larry Bird,BOS,13,13.0,13.0,0.0,3.0,W,AWAY,LAC,LAC,34.043056,-118.267222
1984-12-28,Magic Johnson,LAL,21,11.0,14.0,1.0,0.0,W,AWAY,DEN,DEN,39.74892,-105.0084
1984-12-29,Larry Bird,BOS,18,15.0,10.0,1.0,0.0,W,AWAY,SAS,SAS,29.426944,-98.4375
1984-12-29,Magic Johnson,LAL,15,10.0,16.0,1.0,1.0,W,HOME,LAC,LAL,34.043056,-118.267222
1985-01-03,Johnny Moore,SAS,14,10.0,14.0,4.0,0.0,W,HOME,DAL,SAS,29.426944,-98.4375
1985-01-03,Paul Pressey,MIL,17,12.0,11.0,1.0,1.0,W,HOME,LAC,MIL,43.045028,-87.918167
1985-01-04,Michael Ray Richardson,NJN,26,11.0,12.0,4.0,0.0,W,HOME,PHO,NJN,40.81167,-74.0675
1985-01-07,Larry Bird,BOS,26,10.0,10.0,3.0,2.0,W,AWAY,NYK,NYK,40.750556,-73.993611
1985-01-08,Johnny Moore,SAS,26,11.0,13.0,9.0,1.0,W,HOME,GSW,SAS,29.426944,-98.4375
1985-01-14,Michael Jordan,CHI,35,14.0,15.0,3.0,1.0,W,HOME,DEN,CHI,41.880556,-87.674167
1985-01-18,Mark Eaton,UTA,12,20.0,3.0,0.0,14.0,W,HOME,POR,UTA,40.768333,-111.901111
1985-02-01,Mark Eaton,UTA,12,20.0,1.0,0.0,10.0,W,AWAY,DAL,DAL,32.790556,-96.810278
1985-02-05,Mark Eaton,UTA,17,10.0,2.0,1.0,10.0,L,AWAY,POR,POR,45.531667,-122.666667
1985-02-07,Johnny Moore,SAS,12,10.0,11.0,4.0,0.0,W,HOME,LAC,SAS,29.426944,-98.4375
1985-02-18,Larry Bird,BOS,30,12.0,10.0,9.0,2.0,W,AWAY,UTA,UTA,40.768333,-111.901111
1985-02-21,Magic Johnson,LAL,15,10.0,17.0,0.0,1.0,W,AWAY,KCK,KCK,39.091944,-94.605833
1985-02-26,Magic Johnson,LAL,15,11.0,18.0,1.0,1.0,W,HOME,HOU,LAL,34.043056,-118.267222
1985-03-01,Clyde Drexler,POR,19,10.0,10.0,0.0,0.0,L,HOME,CLE,POR,45.531667,-122.666667
1985-03-01,Michael Jordan,CHI,21,10.0,10.0,3.0,0.0,W,HOME,NYK,CHI,41.880556,-87.674167
1985-03-03,Larry Bird,BOS,30,15.0,10.0,1.0,0.0,W,HOME,DET,BOS,42.366303,-71.062228
1985-03-05,Larry Bird,BOS,20,19.0,10.0,2.0,3.0,W,AWAY,NYK,NYK,40.750556,-73.993611
1985-03-05,Clyde Drexler,POR,13,11.0,10.0,4.0,1.0,W,AWAY,ATL,ATL,33.757222,-84.396389
1985-03-17,Michael Jordan,CHI,32,11.0,16.0,1.0,1.0,W,HOME,MIL,CHI,41.880556,-87.674167
1985-03-20,Larry Bird,BOS,13,11.0,10.0,0.0,0.0,W,HOME,MIL,BOS,42.366303,-71.062228
1985-03-24,Magic Johnson,LAL,25,10.0,19.0,1.0,0.0,W,HOME,DET,LAL,34.043056,-118.267222
1985-03-27,Michael Ray Richardson,NJN,14,11.0,11.0,4.0,1.0,L,HOME,BOS,NJN,40.81167,-74.0675
1985-04-04,Alvan Adams,PHO,31,13.0,11.0,1.0,1.0,L,HOME,DEN,PHO,33.445833,-112.071389
1985-04-14,Alvan Adams,PHO,21,14.0,13.0,3.0,0.0,W,HOME,GSW,PHO,33.445833,-112.071389
1985-10-25,Larry Bird,BOS,21,12.0,10.0,8.0,1.0,L,AWAY,NJN,NJN,40.81167,-74.0675
1985-10-30,Michael Ray Richardson,NJN,38,11.0,11.0,9.0,0.0,W,HOME,IND,NJN,40.81167,-74.0675
1985-11-08,Magic Johnson,LAL,19,10.0,12.0,2.0,1.0,W,HOME,DEN,LAL,34.043056,-118.267222
1985-11-22,Alvin Robertson,SAS,14,12.0,10.0,3.0,2.0,W,HOME,IND,SAS,29.426944,-98.4375
1985-11-23,Larry Bird,BOS,18,10.0,10.0,2.0,0.0,W,AWAY,NYK,NYK,40.750556,-73.993611
1985-11-27,Fat Lever,DEN,14,12.0,14.0,2.0,0.0,L,AWAY,GSW,GSW,37.7503,-122.203
1985-11-29,Magic Johnson,LAL,14,16.0,17.0,4.0,0.0,W,HOME,SEA,LAL,34.043056,-118.267222
1985-12-21,Alvan Adams,PHO,24,12.0,10.0,1.0,1.0,W,HOME,GSW,PHO,33.445833,-112.071389
1985-12-28,Alvin Robertson,SAS,14,10.0,10.0,5.0,1.0,W,HOME,DEN,SAS,29.426944,-98.4375
1985-12-30,Clyde Drexler,POR,23,15.0,11.0,3.0,0.0,W,HOME,SAS,POR,45.531667,-122.666667
1986-01-03,Clyde Drexler,POR,18,10.0,10.0,3.0,0.0,W,HOME,PHO,POR,45.531667,-122.666667
1986-01-07,Hakeem Olajuwon,HOU,26,12.0,7.0,2.0,11.0,W,HOME,GSW,HOU,29.750833,-95.362222
1986-01-10,Clyde Drexler,POR,26,9.0,11.0,10.0,1.0,L,AWAY,MIL,MIL,43.045028,-87.918167
1986-02-13,Larry Bird,BOS,31,15.0,11.0,1.0,1.0,W,AWAY,SEA,SEA,47.622,-122.354
1986-02-14,Larry Bird,BOS,47,14.0,11.0,1.0,2.0,W,AWAY,POR,POR,45.531667,-122.666667
1986-02-18,Alvin Robertson,SAS,20,11.0,10.0,10.0,0.0,W,HOME,PHO,SAS,29.426944,-98.4375
1986-02-19,Larry Bird,BOS,36,12.0,11.0,0.0,1.0,W,AWAY,GSW,GSW,37.7503,-122.203
1986-02-23,Larry Bird,BOS,30,11.0,12.0,4.0,0.0,W,HOME,IND,BOS,42.366303,-71.062228
1986-02-25,Larry Bird,BOS,24,18.0,13.0,1.0,0.0,W,AWAY,NYK,NYK,40.750556,-73.993611
1986-02-28,Larry Bird,BOS,20,13.0,12.0,1.0,0.0,W,HOME,LAC,BOS,42.366303,-71.062228
1986-03-01,Clyde Drexler,POR,24,12.0,13.0,5.0,1.0,W,HOME,HOU,POR,45.531667,-122.666667
1986-03-16,Magic Johnson,LAL,19,12.0,12.0,2.0,0.0,W,HOME,HOU,LAL,34.043056,-118.267222
1986-03-25,Paul Pressey,MIL,11,10.0,10.0,3.0,2.0,W,HOME,NJN,MIL,43.045028,-87.918167
1986-04-02,Larry Bird,BOS,29,11.0,13.0,2.0,1.0,W,HOME,DET,BOS,42.366303,-71.062228
1986-04-04,Charles Barkley,PHI,27,22.0,10.0,0.0,2.0,W,HOME,CLE,PHI,39.901111,-75.171944
1986-04-06,Larry Bird,BOS,18,10.0,10.0,1.0,0.0,L,AWAY,PHI,PHI,39.901111,-75.171944
1986-11-01,Mark Eaton,UTA,15,20.0,2.0,3.0,12.0,W,HOME,POR,UTA,40.768333,-111.901111
1986-11-04,Charles Barkley,PHI,34,10.0,14.0,2.0,4.0,L,AWAY,IND,IND,39.763889,-86.155556
1986-11-06,Fat Lever,DEN,13,12.0,14.0,0.0,0.0,W,HOME,UTA,DEN,39.74892,-105.0084
1986-11-11,Paul Pressey,MIL,17,10.0,12.0,0.0,0.0,W,HOME,IND,MIL,43.045028,-87.918167
1986-11-14,Clyde Drexler,POR,24,12.0,11.0,3.0,2.0,W,HOME,LAC,POR,45.531667,-122.666667
1986-11-19,Alvin Robertson,SAS,34,10.0,10.0,7.0,2.0,L,HOME,LAL,SAS,29.426944,-98.4375
1986-12-03,Fat Lever,DEN,20,10.0,12.0,1.0,0.0,L,AWAY,BOS,BOS,42.366303,-71.062228
1986-12-09,Fat Lever,DEN,12,10.0,10.0,1.0,1.0,L,AWAY,CHI,CHI,41.880556,-87.674167
1986-12-10,Paul Pressey,MIL,27,10.0,11.0,5.0,0.0,W,HOME,LAL,MIL,43.045028,-87.918167
1986-12-16,Magic Johnson,LAL,25,11.0,14.0,1.0,1.0,W,AWAY,CLE,CLE,41.496389,-81.688056
1986-12-16,Fat Lever,DEN,17,11.0,14.0,6.0,0.0,W,AWAY,SAC,SAC,38.580361,-121.499611
1986-12-19,Charles Barkley,PHI,15,14.0,11.0,3.0,0.0,W,HOME,BOS,PHI,39.901111,-75.171944
1987-01-02,Fat Lever,DEN,23,11.0,12.0,1.0,1.0,L,HOME,HOU,DEN,39.74892,-105.0084
1987-01-04,Magic Johnson,LAL,26,10.0,11.0,1.0,0.0,W,HOME,UTA,LAL,34.043056,-118.267222
1987-01-10,Fat Lever,DEN,17,10.0,10.0,4.0,0.0,W,HOME,PHO,DEN,39.74892,-105.0084
1987-01-22,Magic Johnson,LAL,29,10.0,11.0,1.0,0.0,W,AWAY,IND,IND,39.763889,-86.155556
1987-01-24,Fat Lever,DEN,25,15.0,12.0,2.0,2.0,W,HOME,MIL,DEN,39.74892,-105.0084
1987-01-26,Fat Lever,DEN,36,12.0,10.0,2.0,0.0,L,AWAY,POR,POR,45.531667,-122.666667
1987-01-29,Fat Lever,DEN,24,14.0,10.0,3.0,2.0,L,HOME,DAL,DEN,39.74892,-105.0084
1987-01-30,Detlef Schrempf,DAL,15,10.0,10.0,0.0,0.0,W,HOME,MIL,DAL,32.790556,-96.810278
1987-02-03,Fat Lever,DEN,26,14.0,11.0,6.0,1.0,W,AWAY,HOU,HOU,29.750833,-95.362222
1987-02-03,Larry Bird,BOS,26,15.0,14.0,3.0,0.0,L,AWAY,ATL,ATL,33.757222,-84.396389
1987-02-05,Terry Porter,POR,18,10.0,13.0,4.0,0.0,W,HOME,LAL,POR,45.531667,-122.666667
1987-02-18,Fat Lever,DEN,10,10.0,14.0,7.0,1.0,L,HOME,LAL,DEN,39.74892,-105.0084
1987-02-18,Larry Bird,BOS,16,12.0,11.0,1.0,2.0,W,AWAY,DAL,DAL,32.790556,-96.810278
1987-02-24,Fat Lever,DEN,18,12.0,13.0,3.0,1.0,W,HOME,HOU,DEN,39.74892,-105.0084
1987-02-26,Charles Barkley,PHI,18,17.0,10.0,3.0,1.0,L,AWAY,SAS,SAS,29.426944,-98.4375
1987-02-27,Magic Johnson,LAL,21,10.0,15.0,1.0,0.0,W,HOME,GSW,LAL,34.043056,-118.267222
1987-03-02,Fat Lever,DEN,15,16.0,10.0,4.0,1.0,L,HOME,SAC,DEN,39.74892,-105.0084
1987-03-05,Terry Porter,POR,14,11.0,10.0,5.0,0.0,L,AWAY,SEA,SEA,47.622,-122.354
1987-03-05,Fat Lever,DEN,20,10.0,15.0,3.0,0.0,W,HOME,SAS,DEN,39.74892,-105.0084
1987-03-10,Hakeem Olajuwon,HOU,38,17.0,6.0,7.0,12.0,L,HOME,SEA,HOU,29.750833,-95.362222
1987-03-12,Clyde Drexler,POR,30,10.0,10.0,2.0,0.0,L,AWAY,LAL,LAL,34.043056,-118.267222
1987-03-14,Charles Barkley,PHI,30,14.0,10.0,2.0,1.0,L,AWAY,DET,DET,42.6969,-83.24555
1987-03-18,Magic Johnson,LAL,27,11.0,19.0,2.0,0.0,W,HOME,UTA,LAL,34.043056,-118.267222
1987-03-21,Fat Lever,DEN,27,13.0,11.0,1.0,0.0,W,AWAY,WSB,WSB,38.8982,-77.0209
1987-03-22,Magic Johnson,LAL,33,12.0,19.0,3.0,1.0,W,HOME,SAC,LAL,34.043056,-118.267222
1987-03-27,Charles Barkley,PHI,28,15.0,10.0,1.0,2.0,W,HOME,NJN,PHI,39.901111,-75.171944
1987-03-29,Larry Bird,BOS,17,13.0,12.0,1.0,0.0,W,HOME,PHI,BOS,42.366303,-71.062228
1987-03-31,Magic Johnson,LAL,21,10.0,13.0,2.0,0.0,W,HOME,HOU,LAL,34.043056,-118.267222
1987-04-01,Larry Bird,BOS,30,17.0,15.0,1.0,3.0,W,HOME,WSB,BOS,42.366303,-71.062228
1987-04-02,Magic Johnson,LAL,34,10.0,13.0,2.0,0.0,W,AWAY,SEA,SEA,47.622,-122.354
1987-04-03,Magic Johnson,LAL,35,10.0,11.0,1.0,0.0,W,AWAY,POR,POR,45.531667,-122.666667
1987-04-05,Magic Johnson,LAL,23,11.0,10.0,1.0,0.0,W,AWAY,DEN,DEN,39.74892,-105.0084
1987-04-05,Larry Bird,BOS,39,10.0,12.0,1.0,0.0,L,AWAY,PHI,PHI,39.901111,-75.171944
1987-04-07,Fat Lever,DEN,28,11.0,10.0,3.0,0.0,W,AWAY,GSW,GSW,37.7503,-122.203
1987-04-10,Magic Johnson,LAL,18,12.0,13.0,3.0,0.0,W,HOME,SAS,LAL,34.043056,-118.267222
1987-04-17,Clyde Drexler,POR,29,12.0,10.0,3.0,0.0,W,HOME,UTA,POR,45.531667,-122.666667
1987-11-06,Fat Lever,DEN,11,10.0,10.0,5.0,0.0,W,HOME,LAC,DEN,39.74892,-105.0084
1987-11-08,Magic Johnson,LAL,23,10.0,12.0,1.0,0.0,W,HOME,HOU,LAL,34.043056,-118.267222
1987-11-21,Fat Lever,DEN,15,12.0,11.0,2.0,0.0,W,AWAY,LAC,LAC,34.043056,-118.267222
1987-11-24,Fat Lever,DEN,21,13.0,14.0,8.0,0.0,W,HOME,NJN,DEN,39.74892,-105.0084
1987-11-25,Paul Pressey,MIL,18,13.0,10.0,2.0,0.0,L,HOME,CHI,MIL,43.045028,-87.918167
1987-12-01,Fat Lever,DEN,16,10.0,10.0,5.0,1.0,L,AWAY,HOU,HOU,29.750833,-95.362222
1987-12-04,Magic Johnson,LAL,22,10.0,12.0,2.0,0.0,L,AWAY,MIL,MIL,43.045028,-87.918167
1987-12-08,Magic Johnson,LAL,13,13.0,14.0,2.0,1.0,W,AWAY,NJN,NJN,40.81167,-74.0675
1987-12-09,Fat Lever,DEN,18,11.0,13.0,2.0,0.0,W,AWAY,BOS,BOS,42.366303,-71.062228
1987-12-26,Terry Porter,POR,15,10.0,14.0,5.0,0.0,L,AWAY,CLE,CLE,41.496389,-81.688056
1987-12-30,Paul Pressey,MIL,16,10.0,11.0,2.0,0.0,L,HOME,HOU,MIL,43.045028,-87.918167
1988-01-02,Michael Jordan,CHI,25,10.0,10.0,6.0,3.0,W,HOME,NJN,CHI,41.880556,-87.674167
1988-01-07,Fat Lever,DEN,31,16.0,12.0,6.0,1.0,L,AWAY,CHI,CHI,41.880556,-87.674167
