DATE,PLAYER,TEAM,PTS,REB,AST,STL,BLK,RES,LOC,VS,POS,LAT,LON
1958-11-27,Bob Cousy,BOS,12,15.0,11.0,,,W,AWAY,PHW,PHW,39.947368,-75.195043
1958-12-26,Guy Rodgers,PHW,28,11.0,12.0,,,W,N,NYK,NYK,40.750556,-73.993611
1958-12-29,Bob Cousy,BOS,24,10.0,13.0,,,W,HOME,SYR,BOS,42.366303,-71.062228
1959-01-16,Bob Cousy,BOS,27,10.0,10.0,,,L,AWAY,PHW,PHW,39.947368,-75.195043
1959-01-18,Richie Guerin,NYK,23,10.0,10.0,,,W,AWAY,SYR,SYR,43.044722,-76.148333
1959-01-28,Guy Rodgers,PHW,15,11.0,11.0,,,W,HOME,CIN,PHW,39.947368,-75.195043
1959-02-11,Guy Rodgers,PHW,27,14.0,10.0,,,L,AWAY,BOS,BOS,42.366303,-71.062228
1959-11-10,Bob Cousy,BOS,26,10.0,11.0,,,W,N,DET,DET,42.6969,-83.24555
1959-11-25,Bob Cousy,BOS,14,10.0,10.0,,,L,HOME,PHW,BOS,42.366303,-71.062228
1959-12-03,Tom Gola,PHW,17,11.0,11.0,,,W,HOME,MNL,PHW,39.947368,-75.195043
1959-12-08,Bob Cousy,BOS,24,12.0,10.0,,,W,AWAY,NYK,NYK,40.750556,-73.993611
1959-12-30,Tom Gola,PHW,14,11.0,13.0,,,W,HOME,MNL,PHW,39.947368,-75.195043
1960-01-06,Tom Gola,PHW,17,13.0,11.0,,,W,HOME,STL,PHW,39.947368,-75.195043
1960-01-09,Tom Gola,PHW,21,15.0,10.0,,,W,HOME,SYR,PHW,39.947368,-75.195043
1960-01-10,Richie Guerin,NYK,24,16.0,10.0,,,L,HOME,PHW,NYK,40.750556,-73.993611
1960-01-10,Tom Gola,PHW,18,19.0,11.0,,,W,AWAY,NYK,NYK,40.750556,-73.993611
1960-01-12,Tom Gola,PHW,14,12.0,11.0,,,W,HOME,STL,PHW,39.947368,-75.195043
1960-01-23,Bob Cousy,BOS,24,11.0,10.0,,,W,HOME,SYR,BOS,42.366303,-71.062228
1960-02-02,Tom Gola,PHW,16,11.0,10.0,,,W,HOME,CIN,PHW,39.947368,-75.195043
1960-02-13,Richie Guerin,NYK,21,11.0,19.0,,,W,HOME,STL,NYK,40.750556,-73.993611
1960-02-17,Tom Gola,PHW,13,14.0,11.0,,,W,HOME,SYR,PHW,39.947368,-75.195043
1960-02-20,Tom Gola,PHW,12,10.0,13.0,,,W,HOME,MNL,PHW,39.947368,-75.195043
1960-10-19,Oscar Robertson,CIN,21,12.0,10.0,,,W,HOME,LAL,CIN,39.1811,-84.4553
1960-10-22,Oscar Robertson,CIN,23,11.0,12.0,,,W,HOME,NYK,CIN,39.1811,-84.4553
1960-10-23,Oscar Robertson,CIN,32,12.0,10.0,,,W,HOME,STL,CIN,39.1811,-84.4553
1960-10-26,Oscar Robertson,CIN,25,12.0,12.0,,,L,AWAY,DET,DET,42.6969,-83.24555
1960-11-01,Guy Rodgers,PHW,16,11.0,12.0,,,W,AWAY,CIN,CIN,39.1811,-84.4553
1960-11-09,Tom Gola,PHW,15,12.0,10.0,,,W,N,LAL,LAL,34.043056,-118.267222
1960-11-10,Richie Guerin,NYK,24,13.0,13.0,,,L,HOME,PHW,NYK,40.750556,-73.993611
1960-11-15,Oscar Robertson,CIN,44,15.0,11.0,,,W,HOME,PHW,CIN,39.1811,-84.4553
1960-11-22,Oscar Robertson,CIN,17,11.0,12.0,,,L,N,LAL,LAL,34.043056,-118.267222
1960-11-23,Oscar Robertson,CIN,31,11.0,14.0,,,W,HOME,LAL,CIN,39.1811,-84.4553
1960-11-27,Elgin Baylor,LAL,22,24.0,10.0,,,L,HOME,PHW,LAL,34.043056,-118.267222
1960-12-01,Elgin Baylor,LAL,28,21.0,10.0,,,L,AWAY,PHW,PHW,39.947368,-75.195043
1960-12-01,Bob Cousy,BOS,18,11.0,12.0,,,L,N,NYK,NYK,40.750556,-73.993611
1960-12-02,Elgin Baylor,LAL,23,25.0,10.0,,,W,AWAY,BOS,BOS,42.366303,-71.062228
1960-12-04,Oscar Robertson,CIN,34,14.0,11.0,,,L,N,DET,DET,42.6969,-83.24555
1960-12-06,Oscar Robertson,CIN,27,10.0,10.0,,,W,AWAY,NYK,NYK,40.750556,-73.993611
1960-12-18,Oscar Robertson,CIN,31,14.0,11.0,,,L,HOME,PHW,CIN,39.1811,-84.4553
1960-12-20,Richie Guerin,NYK,21,15.0,17.0,,,W,HOME,SYR,NYK,40.750556,-73.993611
1960-12-20,Oscar Robertson,CIN,28,18.0,10.0,,,L,N,BOS,BOS,42.366303,-71.062228
1960-12-21,Richie Guerin,NYK,19,15.0,11.0,,,L,N,PHW,PHW,39.947368,-75.195043
1960-12-25,Oscar Robertson,CIN,32,15.0,16.0,,,W,HOME,DET,CIN,39.1811,-84.4553
1960-12-27,Oscar Robertson,CIN,45,12.0,13.0,,,W,HOME,SYR,CIN,39.1811,-84.4553
1960-12-27,Guy Rodgers,PHW,10,10.0,12.0,,,W,HOME,BOS,PHW,39.947368,-75.195043
1960-12-28,Oscar Robertson,CIN,38,13.0,11.0,,,W,N,NYK,NYK,40.750556,-73.993611
1961-01-01,Oscar Robertson,CIN,28,18.0,11.0,,,W,HOME,STL,CIN,39.1811,-84.4553
1961-01-02,Oscar Robertson,CIN,42,13.0,10.0,,,W,N,SYR,SYR,43.044722,-76.148333
1961-01-04,Oscar Robertson,CIN,32,11.0,11.0,,,W,AWAY,SYR,SYR,43.044722,-76.148333
1961-01-05,Oscar Robertson,CIN,38,10.0,10.0,,,L,HOME,BOS,CIN,39.1811,-84.4553
1961-01-10,Oscar Robertson,CIN,31,18.0,13.0,,,L,AWAY,STL,STL,38.627972,-90.201782
1961-01-11,Oscar Robertson,CIN,29,13.0,11.0,,,L,AWAY,DET,DET,42.6969,-83.24555
1961-01-12,Oscar Robertson,CIN,31,15.0,16.0,,,L,N,DET,DET,42.6969,-83.24555
1961-01-14,Jerry West,LAL,16,12.0,13.0,,,W,HOME,CIN,LAL,34.043056,-118.267222
1961-01-27,Richie Guerin,NYK,42,10.0,12.0,,,W,HOME,PHW,NYK,40.750556,-73.993611
1961-02-05,Guy Rodgers,PHW,17,14.0,14.0,,,W,HOME,NYK,PHW,39.947368,-75.195043
1961-02-05,Richie Guerin,NYK,23,14.0,10.0,,,L,AWAY,PHW,PHW,39.947368,-75.195043
1961-02-07,Guy Rodgers,PHW,24,15.0,10.0,,,L,AWAY,STL,STL,38.627972,-90.201782
1961-02-09,Guy Rodgers,PHW,12,10.0,10.0,,,L,HOME,SYR,PHW,39.947368,-75.195043
1961-02-13,Oscar Robertson,CIN,40,10.0,11.0,,,W,N,LAL,LAL,34.043056,-118.267222
1961-02-17,Guy Rodgers,PHW,23,14.0,16.0,,,L,HOME,BOS,PHW,39.947368,-75.195043
1961-02-21,Oscar Robertson,CIN,36,12.0,13.0,,,L,AWAY,STL,STL,38.627972,-90.201782
1961-02-22,Oscar Robertson,CIN,39,15.0,18.0,,,L,N,PHW,PHW,39.947368,-75.195043
1961-02-22,Elgin Baylor,LAL,38,24.0,14.0,,,W,HOME,BOS,LAL,34.043056,-118.267222
1961-02-25,Oscar Robertson,CIN,39,11.0,14.0,,,L,HOME,PHW,CIN,39.1811,-84.4553
1961-02-26,Jerry West,LAL,38,15.0,10.0,,,W,HOME,PHW,LAL,34.043056,-118.267222
1961-03-05,Oscar Robertson,CIN,27,14.0,10.0,,,W,AWAY,NYK,NYK,40.750556,-73.993611
1961-10-21,Richie Guerin,NYK,29,10.0,11.0,,,L,AWAY,PHW,PHW,39.947368,-75.195043
1961-10-21,Oscar Robertson,CIN,35,15.0,13.0,,,W,AWAY,STL,STL,38.627972,-90.201782
1961-10-24,Oscar Robertson,CIN,32,12.0,10.0,,,L,N,LAL,LAL,34.043056,-118.267222
1961-10-26,Oscar Robertson,CIN,30,14.0,14.0,,,L,AWAY,NYK,NYK,40.750556,-73.993611
1961-10-26,Richie Guerin,NYK,35,10.0,11.0,,,W,HOME,CIN,NYK,40.750556,-73.993611
1961-10-29,Oscar Robertson,CIN,26,11.0,22.0,,,W,HOME,SYR,CIN,39.1811,-84.4553
1961-11-01,Oscar Robertson,CIN,18,13.0,11.0,,,L,AWAY,LAL,LAL,34.043056,-118.267222
1961-11-07,Oscar Robertson,CIN,22,14.0,11.0,,,W,HOME,NYK,CIN,39.1811,-84.4553
1961-11-08,Jerry West,LAL,42,13.0,10.0,,,W,HOME,STL,LAL,34.043056,-118.267222
1961-11-10,Richie Guerin,NYK,36,13.0,10.0,,,L,HOME,DET,NYK,40.750556,-73.993611
1961-11-10,Oscar Robertson,CIN,40,15.0,16.0,,,W,HOME,CHP,CIN,39.1811,-84.4553
1961-11-11,Oscar Robertson,CIN,27,10.0,16.0,,,W,AWAY,CHP,CHP,41.816111,-87.646111
1961-11-12,Oscar Robertson,CIN,31,12.0,15.0,,,W,HOME,STL,CIN,39.1811,-84.4553
1961-11-14,Oscar Robertson,CIN,36,10.0,13.0,,,W,N,SYR,SYR,43.044722,-76.148333
1961-11-16,Oscar Robertson,CIN,28,16.0,13.0,,,L,HOME,BOS,CIN,39.1811,-84.4553
